Scenario No.,Scenario Name,Category,Scenario,Decision,Level,Feedback,Action Tags,VideoURL
,,,,"Explain that you're focused on your assigned tasks and don't have visibility into broader project decisions, suggesting she speak with your project manager about additional features.",Orange,"While technically correct, this response doesn't demonstrate P1-level curiosity about strategic initiatives or awareness of how individual contributions impact organizational vision.",Request Time or Guidance,
,,,,Express interest in the real-time notifications work but mention that you'd need to check with multiple people before understanding how it fits into your current responsibilities.,Orange,This response shows some awareness of the need for guidance but doesn't demonstrate P1-level understanding of how to align individual tasks with organizational objectives or business impact awareness.,Clarify Project Fit,
,,,,"Proactively offer to outline a high-level technical plan and rough timeline for implementing the new features, while recognizing the need for later alignment with broader project goals and your company�s strategic priorities.",Red,This response demonstrates poor P1-level judgment by making commitments without understanding how individual tasks align with organizational objectives or considering the business impact of decisions.,Initiate Forward Planning,
,,,,"Acknowledge the PM's flexibility on budget and express your willingness to begin exploring implementation of real-time notification features right away, with the intent to support her timeline while still confirming strategic alignment.",Red,This response shows lack of P1-level big picture thinking by ignoring the need to align day-to-day activities with organizational vision and not demonstrating awareness of business impact.,Seek Strategic Alignment,
,,,,"Clarify that you would benefit from a better understanding of the project�s strategic context and objectives to provide meaningful input, and suggest a collaborative conversation to ensure alignment moving forward.",Red,This response fails to demonstrate P1-level curiosity about strategic initiatives and doesn't show awareness of how individual contributions can impact organizational objectives.,Initiate Forward Planning,
,,,,"Share a thorough overview of potential technical approaches to real-time notification implementation, with the intention of informing a more strategic conversation about how these might support the project�s broader goals.",Red,This response shows narrow technical focus without P1-level big picture thinking about aligning current work with organizational vision or understanding the business impact of individual activities.,Initiate Forward Planning,
,,,,Accept the client's request immediately without consulting the Project Manager or recognizing that implementing real-time notifications would significantly expand the project scope beyond the original SOW and create additional workload and pressure for the development team.,Red,"This response demonstrates poor project governance by making scope commitments without proper authority or consultation, fails to recognize the significant technical complexity and resource implications of real-time notification infrastructure, ignores established project management protocols that protect both budget and timeline constraints, and creates unauthorized obligations that will burden the development team with unplanned work while potentially violating contractual boundaries defined in the original Statement of Work.",Act Prematurely Without Alignment,
2,The Strategic Alignment Discussion,Big Picture Thinking,"You are a new team lead working on a digital transformation project for TechCorp, a major retail client. During a quarterly review meeting, TechCorp's CTO asks you directly: ""We've been impressed with your team's technical work, but we'd like to understand the bigger picture. Can you explain your company's vision and mission, and how this project aligns with our organization's strategic business goals for this year?""

He adds, ""We're considering expanding our partnership, but we need to understand how your individual contributions tie into your company's broader objectives and how those in turn tie up with those of TechCorp.""

This is a pivotal moment that could influence future contract opportunities. Your response needs to demonstrate strategic awareness beyond just technical delivery.

What is your immediate response to address their questions while positioning both yourself and your company as strategic partners rather than just service providers?","Articulate your company's vision of transforming businesses through technology innovation, explain how digital transformation aligns with the digital transformation pillar, and describe how your role contributes to client success while building your company's market reputation in enterprise digital transformation solutions.",Green ,"This response demonstrates comprehensive understanding of organizational vision, strategic alignment, and personal contribution to broader business objectives, which are core elements of Big Picture Thinking.",Articulate Strategic Vision,https://youtu.be/c-LAQl0jPbQ?si=Auv1pXxqeC96Av4I
,,,,"Connect the current project to your company's strategic growth in digital transformation services, explain how successful delivery builds long-term client relationships, and outline how your technical expertise supports the company's goal of becoming a preferred digital transformation partner.",Green ,This response shows strong strategic awareness by linking individual work to organizational growth objectives and market positioning goals.,Connect Project Strategy,
,,,,"Explain your company's mission to enable digital transformation, describe how this project showcases the company's capabilities in digital transformation, and detail how your contributions help establish your company as a strategic technology partner rather than just a service provider.",Green ,This response effectively demonstrates understanding of organizational mission and ability to position work within strategic business context.,Explain Company Mission,
,,,,"Present your company's vision for technology-driven business transformation, connect the digital transformation project to cost optimization and scalability goals, and explain how your role in delivering measurable outcomes supports your company's reputation for driving client ROI.",Green ,This response displays excellent strategic thinking by connecting technical work to business value and organizational reputation building.,Present Business Transformation,
,,,,"Mention your company's focus on digital transformation and technology solutions, explain that this project helps the client modernize their infrastructure, and note that successful delivery contributes to your company's growth in the digital transformation services market.",Light green,This response shows basic understanding of strategic alignment but lacks depth in connecting personal contribution to broader organizational objectives.,Mention Company Focus,
,,,,"Reference your company's commitment to innovation and client success, describe how the digital transformation project demonstrates these values, and explain that your technical work helps build the company's portfolio of successful implementations.",Light green,This response demonstrates awareness of organizational values and project significance but shows limited insight into strategic business impact.,Reference Innovation Commitment,
,,,,"Discuss your company's goal of being a trusted technology partner, explain how this project builds client relationships, and mention that your contributions help establish credibility in digital transformation services.",Light green,This response shows understanding of business relationships and service positioning but lacks comprehensive strategic perspective.,Discuss Partnership Goals,
,,,,"Outline your company's focus on delivering technology solutions that drive business outcomes, connect the project to client operational improvements, and explain how your role supports the company's service delivery excellence.",Light green,This response demonstrates service-oriented thinking but shows limited strategic vision beyond immediate project outcomes.,Outline Solution Delivery,
,,,,"Acknowledge that you're familiar with your company's general technology focus and explain that this project helps clients with their IT infrastructure, but redirect the conversation back to technical project details and timelines.",Orange,This response shows minimal strategic awareness and misses the opportunity to demonstrate understanding of organizational vision and business alignment.,Acknowledge Technical Focus,
,,,,"Mention that your company works on digital transformation projects and that this digital transformation project is part of that portfolio, but focus primarily on the technical challenges you've solved rather than strategic business impact.",Orange,This response displays limited big picture thinking by focusing on execution rather than strategic alignment and organizational objectives.,Mention Portfolio Context,
,,,,"Reference your company's commitment to quality delivery and explain that your role is to ensure technical excellence, but emphasize individual performance rather than connection to broader business goals.",Orange,This response demonstrates professional competence but lacks strategic vision and understanding of how individual work contributes to organizational success.,Reference Quality Standards,
,,,,"Discuss the project's technical benefits for the client and mention that your company has expertise in digital transformation technologies, but avoid connecting your work to the company's strategic growth or market positioning.",Orange,This response shows technical understanding but fails to demonstrate strategic thinking or awareness of business context beyond immediate project scope.,Discuss Technical Benefits,
,,,,"Admit that you're not fully familiar with your company's specific vision and mission statements, but emphasize that you focus on delivering quality technical work and meeting project requirements.",Red,"This response reveals lack of strategic awareness and organizational understanding, missing the opportunity to position yourself as a strategic partner.",Admit Knowledge Gaps,
,,,,"Suggest that the client should speak with your company's business development team for strategic information, explaining that your role is primarily technical and you prefer to focus on project execution.",Red,This response demonstrates poor judgment by deflecting responsibility and failing to engage with strategic business discussions.,Suggest Team Escalation,
,,,,"Provide a generic response about technology helping businesses improve efficiency, without specifically addressing your company's vision, mission, or strategic goals, and quickly shift focus to project deliverables.",Red,"This response shows lack of preparation and strategic thinking, missing the opportunity to demonstrate organizational alignment and business awareness.",Provide Generic Response,
,,,,"Explain that you're primarily concerned with completing your assigned tasks effectively and meeting technical specifications, suggesting that strategic alignment is handled by management levels.",Red,This response reflects narrow tactical thinking and failure to understand how individual contributions connect to organizational success and strategic objectives.,Explain Task Priorities,
,,,,"Admit that you are mot in a position to respond and that the project manager would be the best person to connect with, and offer to set up a meeting. ",Red,This response reflects narrow tactical thinking and failure to understand how individual contributions connect to organizational success and strategic objectives.,Admit Limited Position,
3,Pre-empt or Pause,Execution with Pace,"You're a software developer working on a critical module for a digital transformation project. While reviewing integration requirements, you discover a significant third-party service configuration issue in your own code that will cause your module to fail during integration testing in two weeks.

You have a full sprint of committed deliverables that your delivery manager is closely tracking. Sprint velocity metrics directly impact your performance review, and you're already working at capacity with your current workload.

Addressing this configuration issue now would require 1-2 days of focused work, while fixing it during integration testing later could result in 3-4 days of emergency work under tight deadlines. Emergency fixes often lead to technical debt and quality issues that could affect your professional reputation.
Other teams are depending on your module being ready for integration testing in two weeks.

How do you manage your time and prioritize your workload to balance immediate sprint commitments with the need to execute at pace while maintaining quality standards?","Immediately halt current sprint work to fix the configuration issue, communicate transparently with your delivery manager about the technical debt discovered, and provide a clear timeline for resolution along with preventive measures for future sprints.",Green ,"This decision demonstrates excellent technical leadership by prioritizing long-term project success over short-term metrics, shows transparency with stakeholders, and includes proactive measures to prevent similar issues, leading to higher quality deliverables and stronger professional credibility.",Halt Current Work,
,,,,"Schedule dedicated time blocks within your current sprint to address the configuration issue incrementally, negotiate with your delivery manager to defer non-critical features, and document the technical risk mitigation approach for team visibility.",Green ,"This decision shows strong time management by creating a structured approach to handle both immediate and long-term needs, demonstrates negotiation skills with stakeholders, and maintains transparency through documentation, resulting in balanced outcomes for both sprint goals and quality standards.",Schedule Incremental Resolution,
,,,,"Proactively collaborate with other dependent teams to communicate the potential integration risk, work together to develop a coordinated fix timeline, and establish clear accountability measures to ensure the issue is resolved before integration testing.",Green ,"This decision demonstrates excellent cross-functional collaboration by involving stakeholders in problem-solving, shows initiative in risk management, and creates shared accountability, leading to stronger team relationships and more robust project outcomes.",Collaborate Cross-Team Solutions,
,,,,"Implement a rapid prototyping approach to test the configuration fix during off-hours, validate the solution without impacting sprint commitments, and prepare a detailed implementation plan for immediate deployment once sprint deliverables are secured.",Green ,"This decision shows exceptional dedication by finding creative solutions that don't compromise existing commitments, demonstrates technical problem-solving skills, and maintains professional reliability while addressing quality concerns, leading to optimal outcomes for both individual performance and project success.",Implement Rapid Prototyping,
,,,,"Continue with planned sprint work while scheduling the configuration fix for early in the next sprint, communicate the timeline to your delivery manager, and implement additional testing measures to catch similar issues earlier.",Light green,"This decision balances immediate sprint commitments with timely issue resolution, maintains communication with stakeholders, and shows learning from the current situation, though it introduces some risk by delaying the fix, it demonstrates reasonable prioritization and forward-thinking approach.",Continue Planned Work,
,,,,"Negotiate with your delivery manager to reduce the scope of current sprint deliverables by 25% to create capacity for addressing the configuration issue, while maintaining the most critical features and ensuring quality standards are met.",Light green,"This decision shows practical negotiation skills by proposing a specific compromise that addresses both sprint goals and quality concerns, demonstrates ability to prioritize critical features, and maintains professional relationships while ensuring technical integrity.",Negotiate Scope Reduction,
,,,,"Allocate 50% of your remaining sprint time to current commitments and 50% to fixing the configuration issue, accepting that both areas may receive less attention than ideal but preventing major failures in either area.",Light green,"This decision demonstrates time management skills by creating a balanced approach to competing priorities, shows willingness to make difficult trade-offs, and prevents complete failure in either area, though it may result in suboptimal outcomes in both sprint delivery and issue resolution.",Allocate Split Time,
,,,,"Focus on completing current sprint deliverables while simultaneously researching and documenting the configuration issue thoroughly, preparing for a more efficient fix during integration testing phase.",Light green,"This decision shows organizational skills by maintaining current commitments while preparing for future work, demonstrates multitasking ability, and ensures better preparation for issue resolution, though it delays actual problem-solving and may create time pressure during integration testing.",Focus Research Documentation,
,,,,"Complete your current sprint commitments as planned and address the configuration issue during integration testing, relying on your technical skills to implement a quick fix under pressure when the time comes.",Orange,"This decision prioritizes immediate commitments and relies on technical confidence to handle future challenges, maintaining performance metrics and stakeholder expectations, but creates risk of emergency fixes, potential technical debt, and stress during critical integration phases.",Complete Current Commitments,
,,,,"Inform your delivery manager about the issue but recommend proceeding with current sprint work, suggesting that the configuration problem can be resolved quickly during integration testing without significant impact to the project timeline.",Orange,"This decision maintains transparency with management while prioritizing current deliverables, shows confidence in technical abilities, and attempts to minimize disruption to planned work, but underestimates the complexity of emergency fixes and potential impact on project quality.",Collaborate Cross-Team Solutions,
,,,,"Work overtime hours to address the configuration issue while maintaining your regular sprint deliverables, ensuring both immediate commitments and quality standards are met through additional personal effort.",Orange,"This decision attempts to solve both priorities through increased personal effort, shows dedication to project success, and maintains professional commitments, but creates unsustainable work patterns, potential burnout, and doesn't address the underlying time management challenge.",Work Overtime Hours,
,,,,"Delegate some of your current sprint tasks to junior team members while you focus on the configuration issue, ensuring knowledge transfer and maintaining overall team productivity.",Orange,"This decision shows delegation skills and attempts to maintain overall productivity while addressing the critical issue, provides learning opportunities for junior colleagues, but may result in quality concerns from delegation, potential delays in current sprint work, and doesn't fully address the time management challenge.",Delegate Sprint Tasks,
,,,,Proceed with current plans while noting the discrepancy for follow-up during final integration.,Red,"This decision avoids taking ownership of a visible risk and shows poor foresight, likely leading to major rework and delivery delays.",Continue Planned Work,
,,,,Prioritize team focus and momentum for the sprint while documenting the issue for future resolution.,Red,"This decision prioritizes optics over execution quality and team success, which compromises long-term project outcomes.",Continue Planned Work,
,,,,Coordinate delivery timing to align with other teams and ensure smooth integration.,Red,"This decision slows execution needlessly and contradicts agile best practices of parallel, incremental development.",Collaborate Cross-Team Solutions,
,,,,Rely on collaboration with integration or DevOps teams to address any issues that arise downstream.,Red,"This decision disregards proactive problem-solving and abdicates responsibility, contrary to your company ’s execution values.",Collaborate Cross-Team Solutions,
4,The 72-Hour Pivot,Execution with Pace,"You're a senior engineer leading a small development pod on a critical client project. With 72 hours to deadline and 85% work completed, your manager forwards an urgent client request to integrate a new payment gateway—not in the original scope. The client's CFO approved this change to avoid increased transaction fees, and your manager committed to deliver without extending the deadline.

Your pod is already working extended hours. The payment gateway integration requires 48 hours of development plus security testing, but you have three roadblocks: 
1.The API documentation from the payment provider is extremely limited.
2. A key developer who's the only one familiar with the existing payment module is sick
3. The client's security team is unavailable for approval until tomorrow evening.

One of your fellow pod members worries about code quality if rushed, while another suggests dropping planned testing phases. Pending work includes critical bug fixes and performance optimizations affecting user experience. You are the pod lead, and your colleagues look to you for guidance.

How do you adapt your approach to navigate these roadblocks while maintaining delivery momentum and quality standards?",Immediately assess team capabilities and redistribute tasks based on current knowledge gaps while simultaneously reaching out to multiple payment gateway vendors for expedited technical support.,Green ,"This decision demonstrates strong adaptive leadership by quickly evaluating resources and proactively addressing knowledge barriers through multiple channels, ensuring continuity despite roadblocks.",Assess Team Capabilities,
,,,,"Propose a phased delivery approach to the client where core functionality is delivered on time, with payment gateway integration following 48 hours later after proper security validation.",Green ,This decision shows excellent stakeholder management and quality focus by maintaining delivery commitments while ensuring security standards are not compromised in critical payment processing.,Propose Phased Delivery,
,,,,Organize an immediate team huddle to transparently discuss all roadblocks and collaboratively develop a risk mitigation plan with clear contingencies for each obstacle.,Green ,This decision exemplifies inclusive leadership and agile problem-solving by leveraging collective intelligence and ensuring team buy-in while maintaining transparent communication.,Organize Collaborative Planning,
,,,,"Contact the sick developer to conduct a brief knowledge transfer session via video call, while simultaneously having another team member document the existing payment module architecture.",Green ,This decision balances empathy with pragmatism by minimizing burden on the sick colleague while ensuring critical knowledge is captured and distributed across the team.,Assess Team Capabilities,
,,,,"Establish parallel workstreams where one developer focuses on payment gateway research and documentation while others continue with existing deliverables, then reassess priorities based on findings.",Green ,This decision maximizes resource utilization and maintains momentum by avoiding complete work stoppage while gathering necessary information to make informed decisions.,Establish Parallel Workstreams,
,,,,"Focus the team on completing all existing deliverables first, then tackle the payment gateway integration using available documentation and external resources.",Light green,"This decision prioritizes existing commitments and maintains quality standards, though it may create time pressure later and doesn't fully address the integration complexity.",Focus Sequential Completion,
,,,,Negotiate with the client to implement a simplified payment gateway integration that meets basic requirements but can be enhanced post-delivery.,Light green,"This decision shows practical compromise and maintains delivery timelines, though it may not fully satisfy client expectations and could create future technical debt.",Negotiate Simplified Integration,
,,,,Assign the payment gateway integration to your most adaptable developer while you personally handle the security approval process and team coordination.,Light green,"This decision demonstrates leadership by taking on coordination responsibilities, though it may create a single point of failure and doesn't fully address the knowledge gap.",Assign Specialized Resources,
,,,,Propose extending the deadline by 24 hours to properly address security requirements while maintaining quality standards for the payment integration.,Light green,"This decision prioritizes quality and security, though it requires renegotiating commitments and may impact client relationship despite being reasonable.",Propose Timeline Extension,
,,,,Create a backup plan using the existing payment module with minor modifications while pursuing the new gateway integration in parallel.,Light green,"This decision provides risk mitigation and maintains delivery options, though it may divide team focus and potentially waste effort on redundant work.",Create Backup Plans,
,,,,Proceed with the payment gateway integration using incomplete documentation and plan to address any issues during post-delivery support.,Orange,This decision maintains delivery timelines but introduces significant quality risks and potential client dissatisfaction due to inadequate preparation and testing.,Focus Sequential Completion,
,,,,Reduce the scope of existing bug fixes and performance optimizations to create more time for the payment gateway integration.,Orange,This decision addresses the new requirement but compromises user experience and may create technical debt that affects long-term client satisfaction.,Negotiate Simplified Integration,
,,,,Have the entire team work overtime through the weekend to complete both existing deliverables and the payment gateway integration simultaneously.,Orange,"This decision maintains all commitments but risks team burnout and quality degradation due to fatigue, potentially creating more problems than it solves.",Organize Collaborative Planning,
,,,,"Implement the payment gateway integration without waiting for client security approval, planning to make security adjustments later if needed.",Orange,This decision maintains delivery momentum but violates security protocols and may create compliance issues that could be more costly to address later.,Focus Sequential Completion,
,,,,Assign the payment gateway work to external freelancers or contractors to supplement team capacity while maintaining current deliverables.,Orange,"This decision addresses resource constraints but introduces integration challenges, potential security risks, and may not align with client expectations for team composition.",Assign Specialized Resources,
,,,,Express willingness to support the new requirement and propose a quick assessment of team capacity and technical implications to ensure a realistic and high-quality delivery timeline.,Red,This response shows enthusiasm but lacks strategic thinking. Sets unrealistic expectations and may lead to project failure.,Express Supportive Assessment,
,,,,"Strategically allocate resources by considering task complexity and developer strengths, ensuring both the payment gateway integration and existing work progress smoothly.",Red,This response appears to optimize resources but misaligns skills with critical requirements. May compromise security and integration quality.,Assign Specialized Resources,
,,,,Leverage existing code as a reference point for the payment gateway integration while ensuring all necessary customization and thorough testing are performed to meet project-specific needs.,Red,This response shows urgency but compromises security and reliability. May lead to serious production issues and client dissatisfaction.,Establish Parallel Workstreams,
,,,,"Acknowledge the urgency of the requirement and commit to a focused, well-managed effort�balancing team workload and quality through structured planning and support.",Red,"This response demonstrates dedication but ignores human factors. May lead to burnout, errors, and long-term team dysfunction.",Organize Collaborative Planning,
5,Seizing the AI Edge,Owner's Mindset,"You are a software developer at a global IT company working on a digital transformation project for a Fortune 500 retail client. Your role primarily involves coding specific modules within your assigned area of the project.

While working alongside the client's internal team, you overhear conversations about an upcoming initiative around AI-driven customer behaviour prediction.

From what you gather, this new workstream hasn't been formally scoped yet, and there's discussion about potentially outsourcing it to a boutique AI firm known for quick, low-cost implementations. You realize this could be a significant opportunity that aligns with your company 's vision of becoming the ""AI Accelerator of choice.""

However, your manager and the broader leadership team don't seem to be aware of this potential opportunity yet. As a developer focused on your current coding tasks, you're not expected to be involved in business development or client relationship management.

You find yourself in a position where you have valuable information about a potential business opportunity, but it's unclear how or whether you should act on it given your role and responsibilities.

What should you do next?","Document the key details you've gathered about the AI initiative, including timeline, scope, and the client's current inclination toward outsourcing, then schedule a brief meeting to share this information professionally.",Green ,"This decision demonstrates professional initiative by following proper reporting hierarchy while providing valuable business intelligence in a structured, actionable format that enables leadership to make informed decisions.",Document Professional Intelligence,
,,,," Bring up the opportunity during a regular project update, framing it as relevant market intelligence that could benefit your company's strategic positioning with this client.",Green ,"This approach leverages existing communication channels and timing to share important information transparently with the team, demonstrating situational awareness and collaborative problem-solving.",Share Strategic Insights,
,,,,Approach a trusted senior developer or technical lead to discuss the opportunity and seek their guidance on the best way to bring this to leadership's attention.,Green ,This decision shows professional maturity by seeking mentorship and guidance while ensuring the information reaches decision-makers through appropriate channels and with proper context.,Seek Collaborative Guidance,
,,,,"Draft a brief, factual summary of what you've learned and submit it through your organization's established process for sharing client insights or business intelligence.",Green ,"This demonstrates respect for organizational processes while taking initiative to share valuable information, ensuring proper documentation and follow-through mechanisms are in place.",Document Professional Intelligence,
,,,,"Bring up the AI initiative informally during your next one-on-one meeting without extensive preparation, treating it as interesting information rather than a formal opportunity.",Light green,This approach ensures the information reaches management but lacks the structured presentation that would maximize its impact and actionability for decision-makers.,Seek Collaborative Guidance,
,,,,"Wait for your next natural interaction with the client-facing team member and mention what you've heard, leaving it to them to decide on next steps.",Light green,"This decision appropriately recognizes the account manager's role in client relationships but may result in delayed action due to the passive, opportunistic timing of the communication.",Share Strategic Insights,
,,,,"Record the information you've gathered in your work documentation, ensuring it's available if anyone asks about client developments, but take no immediate action to escalate.",Light green,"This shows good information management practices but fails to capitalize on the time-sensitive nature of the opportunity, potentially allowing competitors to gain advantage.",Document Professional Intelligence,
,,,,Talk through what you've learned with colleagues at your level to better understand the potential impact and gather diverse perspectives before deciding on next steps.,Light green,This demonstrates collaborative thinking and due diligence but may result in information spreading informally without reaching decision-makers who can act on it effectively.,Seek Collaborative Guidance,
,,,,"Hold onto the information until there's a scheduled meeting where such opportunities are typically discussed, then bring it up as relevant context.",Light green,This respects formal meeting structures and timing but risks the opportunity becoming stale or the client making decisions before your company can respond appropriately.,Share Strategic Insights,
,,,,"Skip your immediate supervisor and take the information directly to higher-level executives, believing they need to know about this opportunity immediately.",Orange,"While this shows initiative, it violates organizational hierarchy and could damage relationships with your direct supervisor, potentially undermining your professional standing.",Take Direct Action,
,,,,Proactively seek more information about the AI initiative by engaging client team members in conversations about their plans and decision-making process.,Orange,This demonstrates thorough research instincts but exceeds the appropriate boundaries of a junior developer's role and could appear unprofessional or presumptuous to the client.,Take Direct Action,
,,,,Continue with your assigned coding work while assuming that senior team members or account managers will naturally learn about the AI initiative through their regular interactions.,Orange,"This maintains professional boundaries but represents a missed opportunity to add value and demonstrate initiative, potentially allowing competitive threats to materialize.",Take Direct Action,
,,,,"Share what you've learned casually with various colleagues across different project areas, spreading awareness without formal escalation.",Orange,This ensures information dissemination but lacks strategic focus and may create confusion or mixed messages about the opportunity's priority and next steps.,Share Strategic Insights,
,,,,Spend significant time analysing your company's AI capabilities and market position before deciding whether to share the information with leadership.,Orange,This shows analytical thinking but may result in missed timing opportunities while performing analysis that exceeds your role's responsibilities and available information.,Seek Collaborative Guidance,
,,,,Share your opinion with client team members that your company would be a better choice than the boutique AI firm they're considering.,Red,This approach violates professional boundaries by overstepping your role and potentially damaging client relationships through inappropriate advocacy without proper authorization.,Take Direct Action,
,,,,Take initiative to study AI technologies and present technical recommendations directly to the client team during regular interactions.,Red,This significantly exceeds your role's scope and could create confusion about your company's official position while potentially providing inaccurate or incomplete technical guidance.,Take Direct Action,
,,,,"Treat what you've overheard as sensitive client information that shouldn't be shared with anyone at your company, including your manager.",Red,This misinterprets the nature of business intelligence and prevents your organization from responding to competitive threats or opportunities in the marketplace.,Take Direct Action,
,,,,"Continue your current work without mentioning the opportunity, believing that developers at your level should only act when specifically directed by management.",Red,This overly passive approach fails to recognize the value of proactive communication and may result in missed opportunities that could benefit both the client and your company.,Take Direct Action,
,,,,Mention the AI initiative in group messages or general team updates without providing proper context or identifying it as a potential business opportunity.,Red,This approach lacks strategic thinking and may create confusion or concern among team members without enabling appropriate decision-making or response actions.,Share Strategic Insights,
6,A Fine Balance,Owner's Mindset,"You're a senior developer in a pod that has built strong expertise in a new, cutting-edge data orchestration framework. Through informal conversations and project updates, you've learned that another pod has just taken on a high-priority client project using the same technology but lacks experience and is facing significant delivery delays.

You recognize that your team's knowledge could fast-track their progress and protect your company's client relationship. Your expertise in this framework — from architectural patterns to common pitfalls — could potentially save the struggling team weeks of trial and error.

On the other hand, your pod is currently focused on an internal initiative to build reusable assets — a strategic effort tied to upcoming leadership reviews. Getting involved would require time away from your current work and could affect your team's timeline on this visible project.

No one has asked for your help, and your manager isn't aware of the other team's challenges. You're at a crossroads: you could proactively bring this situation to your manager's attention and advocate for supporting the struggling team, or you could stay focused on your current priorities and let the other team work through their challenges independently.

You understand that your decision could impact both immediate team goals and the company's broader success.

What should you do next?",Proactively schedule a meeting with your manager to discuss the other team's challenges and propose a structured knowledge-sharing approach that balances both team priorities.,Green ,This decision demonstrates strategic thinking and ownership by bringing the issue to leadership's attention while proposing solutions that consider organizational priorities and resource allocation.,Schedule Structured Discussions,
,,,,"Approach the struggling team informally to understand their specific challenges, then present a detailed analysis to your manager with recommendations for targeted support.",Green ,"This decision shows initiative and thorough problem-solving by gathering information first, enabling more informed decision-making and demonstrating commitment to organizational success.",Approach Informal Assessment,
,,,,Propose to your manager a time-boxed mentoring arrangement where you dedicate specific hours weekly to support the other team while maintaining your current project timeline.,Green ,This decision reflects excellent resource management and strategic planning by creating structured boundaries that allow for cross-team collaboration without compromising existing commitments.,Propose Mentoring Arrangements,
,,,,Suggest creating a brief technical documentation or best practices guide that your team can develop alongside your current work to help the struggling team.,Green ,This decision demonstrates innovative problem-solving by finding a scalable solution that addresses the immediate need while creating reusable assets that align with your team's strategic goals.,Suggest Documentation Creation,
,,,,Discuss the situation with your team members first to gauge their availability and willingness to help before approaching your manager.,Light green,"This decision shows collaborative leadership by building team consensus, though it may delay action and could create internal discussions that might not align with organizational priorities.",Schedule Structured Discussions,
